1;1;2.9
1;21;1.95
1;51;1.62
1;101;1.29
1;251;0.98
1;501;0.91
1;1001;0.84
2;1;4.93
2;21;3.315
2;51;2.754
2;101;2.193
2;251;1.666
2;501;1.546
2;1001;1.428
3;1;14.79
3;21;9.945
3;51;8.262
3;101;6.579
3;251;4.998
3;501;4.638
3;1001;4.284
4;1;4
4;21;2
4;51;1.6
4;101;1.18
4;251;0.944
4;501;0.6608
4;1001;0.46256
5;1;6
5;21;3
5;51;2.4
5;101;1.77
5;251;1.416
5;501;0.9912
5;1001;0.69384
6;1;8
6;21;4
6;51;3.2
6;101;2.36
6;251;1.888
6;501;1.3216
6;1001;0.92512
7;1;5.8
7;21;2.9
7;51;2.45
7;101;1.65
7;251;0.99
7;501;0.69
7;1001;0.53
8;1;6.3
8;21;3.15
8;51;3.0625
8;101;2.0625
8;251;1.2375
8;501;0.8625
8;1001;0.6625
9;1;6.9
9;21;3.45
9;51;3.36875
9;101;2.26875
9;251;1.36125
9;501;0.94875
9;1001;0.72875
10;1;8.7
10;21;4.35
10;51;3.675
10;101;2.475
10;251;1.485
10;501;1.035
10;1001;0.795
11;1;9.45
11;21;4.725
11;51;4.59375
11;101;3.09375
11;251;1.85625
11;501;1.29375
11;1001;0.99375
12;1;10.35
12;21;5.175
12;51;5.053125
12;101;3.403125
12;251;2.041875
12;501;1.423125
12;1001;1.093125
13;1;13.05
13;21;6.525
13;51;5.5125
13;101;3.7125
13;251;2.2275
13;501;1.5525
13;1001;1.1925
14;1;14.175
14;21;7.0875
14;51;6.890625
14;101;4.640625
14;251;2.784375
14;501;1.940625
14;1001;1.490625
15;1;15.525
15;21;7.7625
15;51;7.5796875
15;101;5.1046875
15;251;3.0628125
15;501;2.1346875
15;1001;1.6396875
16;1;2.175
16;21;1.4625
16;51;1.215
16;101;0.9675
16;251;0.735
16;501;0.6825
16;1001;0.63
17;1;3.6975
17;21;2.48625
17;51;2.0655
17;101;1.64475
17;251;1.2495
17;501;1.16025
17;1001;1.071
18;1;11.0925
18;21;7.45875
18;51;6.1965
18;101;4.93425
18;251;3.7485
18;501;3.48075
18;1001;3.213
